r_nm,q_hat,success_count,sample_count,ci_low,ci_high
0.000000,1.0000000000,2000,2000,0.9980828824,1.0000000000
25.000000,1.0000000000,2000,2000,0.9980828824,1.0000000000
50.000000,1.0000000000,2000,2000,0.9980828824,1.0000000000
75.000000,0.8250000000,1650,2000,0.8077284515,0.8410254220
100.000000,0.6100000000,1220,2000,0.5884319930,0.6311462411
125.000000,0.4910000000,982,2000,0.4691283434,0.5129061648
150.000000,0.4210000000,842,2000,0.3995334596,0.4427694450
175.000000,0.3345000000,669,2000,0.3141564568,0.3554781091
200.000000,0.3170000000,634,2000,0.2969743723,0.3377272928
225.000000,0.2780000000,556,2000,0.2588047614,0.2980464388
250.000000,0.2390000000,478,2000,0.2208205979,0.2581801375
275.000000,0.2195000000,439,2000,0.2019068584,0.2381686446
300.000000,0.2060000000,412,2000,0.1888467168,0.2242805484
325.000000,0.2030000000,406,2000,0.1859484710,0.2211902968
350.000000,0.1780000000,356,2000,0.1618576564,0.1953769674
375.000000,0.1640000000,328,2000,0.1484188804,0.1808694226
400.000000,0.1470000000,294,2000,0.1321574876,0.1631959974
425.000000,0.1405000000,281,2000,0.1259581288,0.1564202787
450.000000,0.1410000000,282,2000,0.1264346211,0.1569418693
475.000000,0.1250000000,250,2000,0.1112205888,0.1402172494
500.000000,0.1275000000,255,2000,0.1135930002,0.1428352524
525.000000,0.1220000000,244,2000,0.1083761822,0.1370731587
550.000000,0.1175000000,235,2000,0.1041148401,0.1323517548
575.000000,0.1045000000,209,2000,0.0918426215,0.1186738185
600.000000,0.1020000000,204,2000,0.0894896375,0.1160363881
625.000000,0.1050000000,210,2000,0.0923135056,0.1192010173
650.000000,0.0825000000,165,2000,0.0712275156,0.0953732776
675.000000,0.0880000000,176,2000,0.0763606909,0.1012190140
700.000000,0.0795000000,159,2000,0.0684341615,0.0921781344
725.000000,0.0785000000,157,2000,0.0675041275,0.0911120027
750.000000,0.0840000000,168,2000,0.0726259665,0.0969690753
775.000000,0.0830000000,166,2000,0.0716935370,0.0959053390
800.000000,0.0635000000,127,2000,0.0536266892,0.0750469545
825.000000,0.0650000000,130,2000,0.0550076685,0.0766602238
850.000000,0.0820000000,164,2000,0.0707616245,0.0948410858
875.000000,0.0660000000,132,2000,0.0559292280,0.0777348300
900.000000,0.0630000000,126,2000,0.0531667333,0.0745088274
925.000000,0.0570000000,114,2000,0.0476626119,0.0680359543
950.000000,0.0495000000,99,2000,0.0408271100,0.0599002130
975.000000,0.0580000000,116,2000,0.0485779129,0.0691168190
1000.000000,0.0485000000,97,2000,0.0399199505,0.0588112067
1025.000000,0.0575000000,115,2000,0.0481201553,0.0685764938
1050.000000,0.0585000000,117,2000,0.0490358822,0.0696569326
1075.000000,0.0500000000,100,2000,0.0412810881,0.0604443177
1100.000000,0.0500000000,100,2000,0.0412810881,0.0604443177
1125.000000,0.0460000000,92,2000,0.0376568848,0.0560838580
1150.000000,0.0495000000,99,2000,0.0408271100,0.0599002130
1175.000000,0.0545000000,109,2000,0.0453782032,0.0653299486
1200.000000,0.0505000000,101,2000,0.0417353269,0.0609881618
1225.000000,0.0420000000,84,2000,0.0340514835,0.0517045963
1250.000000,0.0370000000,74,2000,0.0295751832,0.0462000677
1275.000000,0.0525000000,105,2000,0.0435548173,0.0631610029
1300.000000,0.0485000000,97,2000,0.0399199505,0.0588112067
1325.000000,0.0435000000,87,2000,0.0354011538,0.0533491746
1350.000000,0.0410000000,82,2000,0.0331533614,0.0506065526
1375.000000,0.0510000000,102,2000,0.0421898227,0.0615317489
1400.000000,0.0445000000,89,2000,0.0363025293,0.0544439649
1425.000000,0.0370000000,74,2000,0.0295751832,0.0462000677
1450.000000,0.0370000000,74,2000,0.0295751832,0.0462000677
1475.000000,0.0430000000,86,2000,0.0349509394,0.0528013061
