boundary_mode,n_a,n_b_min,cost,p_hat,p_lower,iterations
periodic_connected,0,,,,,2
periodic_connected,10,,,,,2
periodic_connected,20,,,,,2
periodic_connected,30,,,,,2
periodic_connected,40,,,,,2
periodic_connected,50,,,,,2
periodic_connected,60,,,,,2
periodic_connected,70,,,,,2
periodic_connected,80,,,,,2
periodic_connected,90,,,,,2
periodic_connected,100,,,,,2
periodic_connected,110,,,,,2
periodic_connected,120,,,,,2
periodic_connected,130,,,,,2
periodic_connected,140,,,,,2
periodic_connected,150,,,,,2
periodic_connected,160,,,,,2
periodic_connected,170,,,,,2
periodic_connected,180,,,,,2
periodic_connected,190,,,,,2
periodic_connected,200,,,,,2
periodic_connected,210,,,,,2
periodic_connected,220,,,,,2
periodic_connected,230,,,,,2
periodic_connected,240,,,,,2
periodic_connected,250,,,,,2
periodic_connected,260,,,,,2
periodic_connected,270,,,,,2
periodic_connected,280,,,,,2
periodic_connected,290,,,,,2
periodic_connected,300,,,,,2
periodic_connected,310,4370,11.9237,0.924000,0.902144,15
periodic_connected,320,3099,9.9425,0.924000,0.902144,15
periodic_connected,330,2414,8.9432,0.942000,0.922309,14
periodic_connected,340,2581,9.3715,0.926000,0.904367,14
periodic_connected,350,2540,9.4512,0.938000,0.917795,14
periodic_connected,360,0,5.3438,0.926000,0.904367,1
wrapped_geometry_only,0,,,,,2
wrapped_geometry_only,10,,,,,2
wrapped_geometry_only,20,,,,,2
wrapped_geometry_only,30,,,,,2
wrapped_geometry_only,40,,,,,2
wrapped_geometry_only,50,,,,,2
wrapped_geometry_only,60,,,,,2
wrapped_geometry_only,70,,,,,2
wrapped_geometry_only,80,,,,,2
wrapped_geometry_only,90,,,,,2
wrapped_geometry_only,100,,,,,2
wrapped_geometry_only,110,,,,,2
wrapped_geometry_only,120,,,,,2
wrapped_geometry_only,130,,,,,2
wrapped_geometry_only,140,,,,,2
wrapped_geometry_only,150,,,,,2
wrapped_geometry_only,160,,,,,2
wrapped_geometry_only,170,,,,,2
wrapped_geometry_only,180,,,,,2
wrapped_geometry_only,190,,,,,2
wrapped_geometry_only,200,,,,,2
wrapped_geometry_only,210,,,,,2
wrapped_geometry_only,220,,,,,2
wrapped_geometry_only,230,,,,,2
wrapped_geometry_only,240,,,,,2
wrapped_geometry_only,250,,,,,2
wrapped_geometry_only,260,,,,,2
wrapped_geometry_only,270,,,,,2
wrapped_geometry_only,280,5000,12.5339,0.924000,0.902144,15
wrapped_geometry_only,290,,,,,2
wrapped_geometry_only,300,3906,10.9978,0.928000,0.906594,15
wrapped_geometry_only,310,3123,9.8343,0.934000,0.913301,14
wrapped_geometry_only,320,3746,11.0266,0.944000,0.924574,14
wrapped_geometry_only,330,2499,9.0856,0.932000,0.911061,15
wrapped_geometry_only,340,0,5.0470,0.930000,0.908825,1
wrapped_geometry_only,350,1960,8.4794,0.938000,0.917795,14
wrapped_geometry_only,360,0,5.3438,0.934000,0.913301,1
